#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName
23329411|2019-10-26T01:17:51.620000|37.7403|15.1337|8.8|BULLETIN-INGV||||ML|3.2|--|1 km SW Sant'Alfio (CT)
23329631|2019-10-26T03:14:25.920000|39.6933|15.4527|9.1|BULLETIN-INGV||||ML|2.6|--|Tirreno Meridionale (MARE)
23329801|2019-10-26T03:43:53.450000|39.7122|15.4532|7.0|BULLETIN-INGV||||ML|2.0|--|Tirreno Meridionale (MARE)
23330181|2019-10-26T05:27:11.820000|39.7182|15.4433|10.3|BULLETIN-INGV||||ML|2.4|--|Tirreno Meridionale (MARE)
23331801|2019-10-26T12:30:44.230000|43.0488|13.0382|8.0|BULLETIN-INGV||||ML|2.2|--|1 km W Pieve Torina (MC)
23332041|2019-10-26T13:20:39.150000|39.6795|15.4032|9.4|BULLETIN-INGV||||ML|3.3|--|Tirreno Meridionale (MARE)
23332211|2019-10-26T13:47:16.180000|39.7037|15.4343|8.8|BULLETIN-INGV||||ML|2.4|--|Tirreno Meridionale (MARE)
23333241|2019-10-26T17:46:24.330000|43.676|7.6417|10.2|BULLETIN-INGV||||ML|2.2|--|Costa Ligure Occidentale (Imperia)
23334101|2019-10-26T23:45:28.520000|39.239|15.7393|116.9|BULLETIN-INGV||||ML|2.1|--|Costa Calabra nord-occidentale (Cosenza)
23334341|2019-10-27T01:38:55.770000|39.7128|15.4453|12.3|BULLETIN-INGV||||ML|2.4|--|Tirreno Meridionale (MARE)
23334881|2019-10-27T06:11:59.460000|39.692|15.4167|10.1|BULLETIN-INGV||||ML|2.0|--|Tirreno Meridionale (MARE)
23335161|2019-10-27T07:41:26.240000|44.4678|10.6372|23.8|BULLETIN-INGV||||ML|2.0|--|4 km SE Baiso (RE)
23335291|2019-10-27T08:29:24.630000|41.7722|13.6123|14.3|BULLETIN-INGV||||ML|2.0|--|4 km NW Pescosolido (FR)
